"file_name","average_sentiment","positive_count","neutral_count","negative_count"
"berkeley",0.54524089306698,380,291,180
"bostoncollege",0.820584144645341,351,266,102
"bostonu",0.453360080240722,415,380,202
"brownu",1.20967741935484,535,323,134
"caltech",1.29585152838428,521,262,133
"cmu",0.931392931392931,523,268,171
"columbia",0.863425925925926,430,265,169
"cornell",0.376696832579186,356,326,202
"dartmouth",0.887931034482759,457,347,124
"duke",1.02604166666667,517,301,142
"emory",0.849498327759197,457,284,156
"gatech",0.687755102040816,228,143,119
"georgetown",1.15292096219931,338,161,83
"harvard",1.10601719197708,372,203,123
"jhu",1.25317796610169,564,253,127
"lehigh",0.904564315352697,481,319,164
"mit",0.927254098360656,522,289,165
"northwestern",0.920121334681496,523,332,134
"notredame",1.10111223458038,549,294,146
"nyu",0.503267973856209,280,181,151
"osu",0.454728370221328,422,340,232
"princeton",1.17395727365209,576,270,137
"purdue",0.350453172205438,416,332,245
"riceuniversity",0.754295532646048,295,203,84
"rutgers",0.405572755417957,414,349,206
"stanford",0.864211737629459,436,273,160
"tufts",0.984863773965691,519,301,171
"ucdavis",0.313627254509018,429,303,266
"uchicago",0.771712158808933,410,256,140
"uci",0.195555555555556,329,317,254
"ucla",0.24,326,361,188
"ucsantabarbara",0.43680485338726,402,357,230
"ucsd",0.517313746065058,422,314,217
"udub",0.753022452504318,269,185,125
"ufl",0.626016260162602,470,302,212
"uga",0.693284936479129,261,169,121
"uiuc",0.870769230769231,455,320,200
"umd",0.424615384615385,409,319,247
"unc",0.733928571428571,280,174,106
"uofm",0.619242579324463,446,312,219
"upenn",0.872863247863248,486,282,168
"urochester",0.992685475444096,508,313,136
"usc",0.789036544850498,306,181,115
"utaustin",0.53125,401,245,218
"uva",0.918279569892473,488,295,147
"uwmadison",0.843866171003718,407,252,148
"vanderbilt",0.885045778229908,491,333,159
"washu",0.847782258064516,466,340,186
"wfu",0.798128342245989,346,272,130
"yale",1.09406952965235,556,302,120
