"Rank","School.Name","Undergraduate.Tuition","Graduate.Tuition","Acceptance.Rate","SAT.ACT.Scores","Student.Population","Graduation.Rate","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14"
"Rank","School Name","1","Princeton UniversityPrinceton, NJ","Acceptance Rate","SAT/ACT Scores","Student Population","Graduation Rate","$59,710","$62,860","4.00%","1,540 SAT34 ACT","8,842","97%"
"2","Massachusetts Institute of TechnologyCambridge, MA","$60,156","$63,393","5.00%","1,550 SAT35 ACT","11,858","94%",NA,NA,NA,NA,NA,NA
"3","Harvard UniversityCambridge, MA","$59,076","$55,440","3.00%","1,550 SAT35 ACT","30,631","97%",NA,NA,NA,NA,NA,NA
"4","Stanford UniversityStanford, CA","$62,484","$59,499","4.00%","1,550 SAT35 ACT","18,283","95%",NA,NA,NA,NA,NA,NA
"5","Yale UniversityNew Haven, CT","$64,700","$48,300","5.00%","1,540 SAT34 ACT","14,776","97%",NA,NA,NA,NA,NA,NA
"6","University of ChicagoChicago, IL","$65,619","$66,543","5.00%","1,550 SAT35 ACT","18,339","95%",NA,NA,NA,NA,NA,NA
"7","Johns Hopkins UniversityBaltimore, MD","$62,840","$65,956","8.00%","1,550 SAT35 ACT","31,275","94%",NA,NA,NA,NA,NA,NA
"8","University of PennsylvaniaPhiladelphia, PA","$66,104","$46,034","6.00%","1,540 SAT35 ACT","28,201","96%",NA,NA,NA,NA,NA,NA
"9","California Institute of TechnologyPasadena, CA","$63,255","$63,063","3.00%","-","2,401","94%",NA,NA,NA,NA,NA,NA
"10","Duke UniversityDurham, NC","$65,805","$63,985","7.00%","1,550 SAT34 ACT","18,023","96%",NA,NA,NA,NA,NA,NA
"11","Northwestern UniversityEvanston, IL","$65,997","$53,871","7.00%","1,530 SAT34 ACT","23,161","96%",NA,NA,NA,NA,NA,NA
"12","Dartmouth CollegeHanover, NH","$65,511","$64,068","6.00%","1,540 SAT34 ACT","6,744","94%",NA,NA,NA,NA,NA,NA
"13","Brown UniversityProvidence, RI","$68,230","$67,006","5.00%","1,540 SAT35 ACT","11,189","94%",NA,NA,NA,NA,NA,NA
"14","Vanderbilt UniversityNashville, TN","$63,946","$56,128","6.00%","1,540 SAT35 ACT","13,710","92%",NA,NA,NA,NA,NA,NA
