Rank,School.Name,Undergraduate.Tuition,Graduate.Tuition,Acceptance.Rate,SAT.ACT.Scores,Student.Population,Graduation.Rate
1,"Princeton UniversityPrinceton, NJ","$59,710","$62,860",4.00%,"1,540 SAT34 ACT","8,842",97%
2,"Massachusetts Institute of TechnologyCambridge, MA","$60,156","$63,393",5.00%,"1,550 SAT35 ACT","11,858",94%
3,"Harvard UniversityCambridge, MA","$59,076","$55,440",3.00%,"1,550 SAT35 ACT","30,631",97%
4,"Stanford UniversityStanford, CA","$62,484","$59,499",4.00%,"1,550 SAT35 ACT","18,283",95%
5,"Yale UniversityNew Haven, CT","$64,700","$48,300",5.00%,"1,540 SAT34 ACT","14,776",97%
6,"University of ChicagoChicago, IL","$65,619","$66,543",5.00%,"1,550 SAT35 ACT","18,339",95%
7,"Johns Hopkins UniversityBaltimore, MD","$62,840","$65,956",8.00%,"1,550 SAT35 ACT","31,275",94%
8,"University of PennsylvaniaPhiladelphia, PA","$66,104","$46,034",6.00%,"1,540 SAT35 ACT","28,201",96%
9,"California Institute of TechnologyPasadena, CA","$63,255","$63,063",3.00%,-,"2,401",94%
10,"Duke UniversityDurham, NC","$65,805","$63,985",7.00%,"1,550 SAT34 ACT","18,023",96%
11,"Northwestern UniversityEvanston, IL","$65,997","$53,871",7.00%,"1,530 SAT34 ACT","23,161",96%
12,"Dartmouth CollegeHanover, NH","$65,511","$64,068",6.00%,"1,540 SAT34 ACT","6,744",94%
13,"Brown UniversityProvidence, RI","$68,230","$67,006",5.00%,"1,540 SAT35 ACT","11,189",94%
14,"Vanderbilt UniversityNashville, TN","$63,946","$56,128",6.00%,"1,540 SAT35 ACT","13,710",92%
15,"Rice UniversityHouston, TX","$58,128","$54,462",8.00%,"1,550 SAT35 ACT","8,672",93%
16,"Washington University in St LouisSaint Louis, MO","$62,982","$62,366",12.00%,"1,540 SAT34 ACT","17,012",93%
17,"Cornell UniversityIthaca, NY","$66,014","$30,085",8.00%,"1,520 SAT34 ACT","25,898",95%
18,"Columbia University in the City of New YorkNew York, NY","$68,171","$56,279",4.00%,"1,540 SAT35 ACT","34,782",95%
19,"University of Notre DameNotre Dame, IN","$62,693","$62,502",12.00%,"1,500 SAT34 ACT","13,105",96%
20,"University of California-BerkeleyBerkeley, CA","$45,627 ($14,850)","$30,363 ($15,261)",12.00%,-,"45,307",94%
